Date,Open,High,Low,Close,Adj Close,Volume
2013/12/26,29.78,29.78,29.78,29.78,29.78,4040
2013/12/27,30.23,30.23,30.23,30.23,30.23,2320
2013/12/30,28.5,28.5,28.5,28.5,28.5,6020
2013/12/31,26.78,26.78,26.78,26.78,26.78,4820
2014/1/2,26.78,26.78,26.78,26.78,26.78,1420
2014/1/3,26.85,26.85,26.85,26.85,26.85,3260
2014/1/6,26.87,26.87,26.87,26.87,26.87,2040
2014/1/7,26.83,26.83,26.83,26.83,26.83,1600
2014/1/8,26.77,26.77,26.77,26.77,26.77,2180
2014/1/9,26.54,26.54,26.54,26.54,26.54,2400
2014/1/10,26.48,26.48,26.48,26.48,26.48,2620
2014/1/13,26.46,26.46,26.46,26.46,26.46,2820
2014/1/14,26.48,26.48,26.48,26.48,26.48,1900
2014/1/15,26.41,26.41,26.41,26.41,26.41,2260
2014/1/16,26.19,26.19,26.19,26.19,26.19,2100
2014/1/17,26.26,26.26,26.26,26.26,26.26,1880
2014/1/20,26.18,26.18,26.18,26.18,26.18,2160
2014/1/21,26.18,26.18,26.18,26.18,26.18,2020
2014/1/22,26.11,26.11,26.11,26.11,26.11,1800
2014/1/23,26.13,26.13,26.13,26.13,26.13,2400
2014/1/24,26.14,26.14,26.14,26.14,26.14,2200
2014/1/27,26.12,26.12,26.12,26.12,26.12,1780
2014/1/28,25.82,25.82,25.82,25.82,25.82,1660
2014/1/29,25.68,25.68,25.68,25.68,25.68,1580
2014/1/30,25.68,25.68,25.68,25.68,25.68,880
2014/2/7,25.59,25.59,25.59,25.59,25.59,1200
2014/2/10,25.63,25.63,25.63,25.63,25.63,1760
2014/2/11,25.55,25.55,25.55,25.55,25.55,2000
2014/2/12,25.54,25.54,25.54,25.54,25.54,1060
2014/2/13,25.51,25.51,25.51,25.51,25.51,1260
2014/2/14,25.82,25.82,25.82,25.82,25.82,2020
2014/2/17,25.92,25.92,25.92,25.92,25.92,1280
2014/2/18,26.64,26.64,26.64,26.64,26.64,1120
2014/2/19,27.87,27.87,27.87,27.87,27.87,1380
2014/2/20,27.11,27.11,27.11,27.11,27.11,600
2014/2/21,27.49,27.49,27.49,27.49,27.49,760
2014/2/24,30.08,30.08,30.08,30.08,30.08,800
2014/2/25,29.76,29.76,29.76,29.76,29.76,940
2014/2/26,29.53,29.53,29.53,29.53,29.53,1220
2014/2/27,29.49,29.49,29.49,29.49,29.49,760
2014/2/28,28.32,28.32,28.32,28.32,28.32,700
2014/3/3,27.02,27.02,27.02,27.02,27.02,100
2014/3/4,29.72,29.72,29.72,29.72,29.72,900
2014/3/5,32.69,32.69,32.69,32.69,32.69,540
2014/3/6,31.55,31.55,31.55,31.55,31.55,1480
2014/3/7,32.07,32.07,32.07,32.07,32.07,360
2014/3/10,33.2,33.2,33.2,33.2,33.2,280
2014/3/11,36.47,36.47,36.47,36.47,36.47,260
2014/3/12,40.09,40.09,40.09,40.09,40.09,340
2014/3/13,43.45,43.45,43.45,43.45,43.45,460
2014/3/14,46.07,46.07,46.07,46.07,46.07,440
2014/3/17,47.52,47.52,47.52,47.52,47.52,440
2014/3/18,48.22,48.22,48.22,48.22,48.22,40
2014/3/19,50.1,50.1,50.1,50.1,50.1,2220
2014/3/20,45.59,45.59,45.59,45.59,45.59,180
2014/3/21,42.56,42.56,42.56,42.56,42.56,2020
2014/3/24,38.84,38.84,38.84,38.84,38.84,200
2014/3/25,35.32,35.32,35.32,35.32,35.32,840
2014/3/26,35.36,35.36,35.36,35.36,35.36,220
2014/3/27,33.2,33.2,33.2,33.2,33.2,360
2014/3/28,33.56,33.56,33.56,33.56,33.56,240
2014/3/31,34.76,34.76,34.76,34.76,34.76,300
2014/4/1,33.82,33.82,33.82,33.82,33.82,200
2014/4/2,35.01,35.01,35.01,35.01,35.01,780
2014/4/3,32.76,32.76,32.76,32.76,32.76,240
2014/4/4,31.13,31.13,31.13,31.13,31.13,160
2014/4/8,34.25,34.25,34.25,34.25,34.25,460
2014/4/9,32.33,32.33,32.33,32.33,32.33,400
2014/4/10,30,30,30,30,30,280
2014/4/11,33,33,33,33,33,220
2014/4/15,33.3,33.3,33.3,33.3,33.3,40
2014/4/16,36.63,36.63,36.63,36.63,36.63,180
2014/4/17,40.29,40.29,40.29,40.29,40.29,560
2014/4/18,39.95,39.95,39.95,39.95,39.95,200
2014/4/21,38.25,38.25,38.25,38.25,38.25,240
2014/4/22,37.5,37.5,37.5,37.5,37.5,240
2014/4/23,36.45,36.45,36.45,36.45,36.45,780
2014/4/24,37.5,37.5,37.5,37.5,37.5,400
2014/4/25,37.17,37.17,37.17,37.17,37.17,420
2014/4/28,35.95,35.95,35.95,35.95,35.95,940
2014/4/29,37.06,37.06,37.06,37.06,37.06,300
2014/4/30,37,37,37,37,37,680
2014/5/5,36.15,36.15,36.15,36.15,36.15,620
2014/5/7,35.13,35.13,35.13,35.13,35.13,40
2014/5/8,38.65,38.65,38.65,38.65,38.65,720
2014/5/9,37.1,37.1,37.1,37.1,37.1,1120
2014/5/12,34.98,34.98,34.98,34.98,34.98,1040
2014/5/13,33.03,33.03,33.03,33.03,33.03,380
2014/5/14,33.01,33.01,33.01,33.01,33.01,680
2014/5/15,31.77,31.77,31.77,31.77,31.77,1720
2014/5/16,34.73,34.73,34.73,34.73,34.73,1340
2014/5/19,34.98,34.98,34.98,34.98,34.98,1020
2014/5/20,33.81,33.81,33.81,33.81,33.81,780
2014/5/21,32.64,32.64,32.64,32.64,32.64,640
2014/5/22,32.07,32.07,32.07,32.07,32.07,400
2014/5/23,32.27,32.27,32.27,32.27,32.27,820
2014/5/26,31,31,31,31,31,680
2014/5/27,30.39,30.39,30.39,30.39,30.39,1020
2014/5/28,28.48,28.48,28.48,28.48,28.48,800
2014/5/29,28.69,28.69,28.69,28.69,28.69,880
2014/5/30,28.01,28.01,28.01,28.01,28.01,900
2014/6/3,28.07,28.07,28.07,28.07,28.07,860
2014/6/4,29.21,29.21,29.21,29.21,29.21,300
2014/6/5,30.01,30.01,30.01,30.01,30.01,640
2014/6/6,31.48,31.48,31.48,31.48,31.48,660
2014/6/9,29.05,29.05,29.05,29.05,29.05,820
2014/6/10,29.37,29.37,29.37,29.37,29.37,700
2014/6/11,29.37,29.37,29.37,29.37,29.37,800
2014/6/12,30.18,30.18,30.18,30.18,30.18,820
2014/6/13,29.61,29.61,29.61,29.61,29.61,600
2014/6/16,28.78,28.78,28.78,28.78,28.78,480
2014/6/17,31.48,31.48,31.48,31.48,31.48,1760
2014/6/18,34.63,34.63,34.63,34.63,34.63,820
2014/6/19,38.09,38.09,38.09,38.09,38.09,1520
2014/6/20,38.58,38.58,38.58,38.58,38.58,500
2014/6/23,42.41,42.41,42.41,42.41,42.41,18080
2014/6/24,41.21,41.21,41.21,41.21,41.21,3300
2014/6/25,39.52,39.52,39.52,39.52,39.52,600
2014/6/26,39,39,39,39,39,2078
2014/6/27,36.46,36.46,36.46,36.46,36.46,1980
2014/6/30,35.58,35.58,35.58,35.58,35.58,3920
2014/7/1,32.67,32.67,32.67,32.67,32.67,5420
2014/7/2,31.41,31.41,31.41,31.41,31.41,820
2014/7/3,29.59,29.59,29.59,29.59,29.59,17100
2014/7/4,27.48,27.48,27.48,27.48,27.48,5240
2014/7/7,26.51,26.51,26.51,26.51,26.51,18640
2014/7/8,25.2,25.2,25.2,25.2,25.2,300
2014/7/9,25.83,25.83,25.83,25.83,25.83,300
2014/7/10,24.13,24.13,24.13,24.13,24.13,4200
2014/7/11,23.55,23.55,23.55,23.55,23.55,6413
2014/7/14,23.84,23.84,23.84,23.84,23.84,1020
2014/7/15,25.19,25.19,25.19,25.19,25.19,800
2014/7/21,20.67,20.67,20.67,20.67,20.67,360
2014/7/22,20,20,20,20,20,1280
2014/7/23,18.98,18.98,18.98,18.98,18.98,4070
2014/7/24,17,17,17,17,17,659116
2014/7/25,19.29,19.29,19.29,19.29,19.29,110623
2014/7/28,22.02,22.02,22.02,22.02,22.02,200
2014/7/29,22.27,22.27,22.27,22.27,22.27,260
2014/7/30,23.69,23.69,23.69,23.69,23.69,400
2014/7/31,23.88,23.88,23.88,23.88,23.88,200
2014/8/1,22.09,22.09,22.09,22.09,22.09,220
2014/8/4,22.49,22.49,22.49,22.49,22.49,360
2014/8/5,22.72,22.72,22.72,22.72,22.72,300
2014/8/6,22.86,22.86,22.86,22.86,22.86,300
2014/8/7,22.61,22.61,22.61,22.61,22.61,400
2014/8/8,20.35,20.35,20.35,20.35,20.35,20
2014/8/21,20.35,20.35,20.35,20.35,20.35,20
2014/9/9,22.4,22.4,22.4,22.4,22.4,20
2014/9/10,24.6,24.6,24.6,24.6,24.6,20
2014/9/12,27,27,27,27,27,500
2014/9/16,29.7,29.7,29.7,29.7,29.7,100
2014/9/17,32.67,32.67,32.67,32.67,32.67,20
2014/9/18,30.09,30.09,30.09,30.09,30.09,780
2014/10/10,27.08,27.08,27.08,27.08,27.08,20
2014/10/31,27.25,27.25,27.25,27.25,27.25,600
2014/11/3,27.68,27.68,27.68,27.68,27.68,200
2014/11/5,27.89,27.89,27.89,27.89,27.89,180
2014/11/6,27.84,27.84,27.84,27.84,27.84,680
2014/11/7,25.65,25.65,25.65,25.65,25.65,1040
2014/11/10,27,27,27,27,27,100
2014/11/12,26.2,26.2,26.2,26.2,26.2,100
2014/11/13,25.77,25.77,25.77,25.77,25.77,120
2014/11/14,25.65,25.65,25.65,25.65,25.65,340
2014/11/17,25.57,25.57,25.57,25.57,25.57,700
2014/11/18,25.1,25.1,25.1,25.1,25.1,440
2014/11/19,26.2,26.2,26.2,26.2,26.2,100
2014/11/20,24.85,24.85,24.85,24.85,24.85,80
2014/11/21,24.96,24.96,24.96,24.96,24.96,100
2014/11/24,24.62,24.62,24.62,24.62,24.62,460
2014/11/25,25,25,25,25,25,60
2014/11/26,25.54,25.54,25.54,25.54,25.54,1440
2014/11/27,25.51,25.51,25.51,25.51,25.51,100
2014/11/28,25.2,25.2,25.2,25.2,25.2,100
2014/12/1,25,25,25,25,25,60
2014/12/2,25.08,25.08,25.08,25.08,25.08,100
2014/12/3,25.13,25.13,25.13,25.13,25.13,100
2014/12/4,25.34,25.34,25.34,25.34,25.34,640
2014/12/5,25.2,25.2,25.2,25.2,25.2,60
2014/12/8,25.17,25.17,25.17,25.17,25.17,220
2014/12/9,25,25,25,25,25,100
2014/12/10,25.1,25.1,25.1,25.1,25.1,60
2014/12/11,25.1,25.1,25.1,25.1,25.1,60
2014/12/12,25.22,25.22,25.22,25.22,25.22,100
2014/12/15,25.25,25.25,25.25,25.25,25.25,580
2014/12/16,25.43,25.43,25.43,25.43,25.43,120
2014/12/17,25.45,25.45,25.45,25.45,25.45,220
2014/12/18,25.75,25.75,25.75,25.75,25.75,280
2014/12/19,25.26,25.26,25.26,25.26,25.26,340
2014/12/22,25.12,25.12,25.12,25.12,25.12,220
2014/12/23,25.17,25.17,25.17,25.17,25.17,240
2014/12/24,25.2,25.2,25.2,25.2,25.2,220
2014/12/25,25.25,25.25,25.25,25.25,25.25,240
2014/12/26,25.27,25.27,25.27,25.27,25.27,260
2014/12/29,25.26,25.26,25.26,25.26,25.26,100
2014/12/30,25.22,25.22,25.22,25.22,25.22,160
2014/12/31,25.22,25.22,25.22,25.22,25.22,60
2015/1/5,24.83,24.83,24.83,24.83,24.83,120
2015/1/6,25.04,25.04,25.04,25.04,25.04,160
2015/1/7,25.05,25.05,25.05,25.05,25.05,160
2015/1/8,25.02,25.02,25.02,25.02,25.02,700
2015/1/9,25.05,25.05,25.05,25.05,25.05,240
2015/1/12,24.93,24.93,24.93,24.93,24.93,120
2015/1/13,25.06,25.06,25.06,25.06,25.06,320
2015/1/14,25.09,25.09,25.09,25.09,25.09,220
2015/1/15,25.05,25.05,25.05,25.05,25.05,160
2015/1/16,25.06,25.06,25.06,25.06,25.06,240
2015/1/19,25.08,25.08,25.08,25.08,25.08,180
2015/1/20,25.11,25.11,25.11,25.11,25.11,220
2015/1/21,25.13,25.13,25.13,25.13,25.13,260
2015/1/22,25.13,25.13,25.13,25.13,25.13,100
2015/1/23,24.61,24.61,24.61,24.61,24.61,340
2015/1/26,25.04,25.04,25.04,25.04,25.04,160
2015/1/27,24.6,24.6,24.6,24.6,24.6,440
2015/1/28,24.87,24.87,24.87,24.87,24.87,620
2015/1/29,25.03,25.03,25.03,25.03,25.03,160
2015/1/30,24.96,24.96,24.96,24.96,24.96,180
2015/2/2,25.06,25.06,25.06,25.06,25.06,280
2015/2/3,24.94,24.94,24.94,24.94,24.94,220
2015/2/4,24.9,24.9,24.9,24.9,24.9,120
2015/2/5,24.72,24.72,24.72,24.72,24.72,100
2015/2/6,24.75,24.75,24.75,24.75,24.75,120
2015/2/9,25.04,25.04,25.04,25.04,25.04,240
2015/2/10,25,25,25,25,25,60
2015/2/11,24,24,24,24,24,120
2015/2/12,24,24,24,24,24,160
2015/2/13,24.75,24.75,24.75,24.75,24.75,120
2015/2/16,25.06,25.06,25.06,25.06,25.06,180
2015/2/17,25.1,25.1,25.1,25.1,25.1,220
2015/2/25,25.23,25.23,25.23,25.23,25.23,120
2015/2/26,24.59,24.59,24.59,24.59,24.59,340
2015/2/27,24.53,24.53,24.53,24.53,24.53,160
2015/3/2,25.09,25.09,25.09,25.09,25.09,180
2015/3/3,25.08,25.08,25.08,25.08,25.08,220
2015/3/4,23.96,23.96,23.96,23.96,23.96,280
2015/3/5,25.32,25.32,25.32,25.32,25.32,260
2015/3/6,25.09,25.09,25.09,25.09,25.09,280
2015/3/9,25.28,25.28,25.28,25.28,25.28,180
2015/3/10,24.58,24.58,24.58,24.58,24.58,220
2015/3/11,24.82,24.82,24.82,24.82,24.82,200
2015/3/12,25.16,25.16,25.16,25.16,25.16,240
2015/3/13,24.98,24.98,24.98,24.98,24.98,480
2015/3/16,25.03,25.03,25.03,25.03,25.03,200
2015/3/17,25,25,25,25,25,360
2015/3/18,25.1,25.1,25.1,25.1,25.1,60
2015/3/19,25.07,25.07,25.07,25.07,25.07,220
2015/3/20,25.05,25.05,25.05,25.05,25.05,120
2015/3/23,25.13,25.13,25.13,25.13,25.13,160
2015/3/24,25.54,25.54,25.54,25.54,25.54,500
2015/3/25,25.2,25.2,25.2,25.2,25.2,360
2015/3/26,25.08,25.08,25.08,25.08,25.08,180
2015/3/27,25.25,25.25,25.25,25.25,25.25,160
2015/3/30,25.27,25.27,25.27,25.27,25.27,200
2015/3/31,25.31,25.31,25.31,25.31,25.31,220
2015/4/1,25.18,25.18,25.18,25.18,25.18,120
2015/4/2,24.91,24.91,24.91,24.91,24.91,1660
2015/4/3,24.43,24.43,24.43,24.43,24.43,180
2015/4/7,24.47,24.47,24.47,24.47,24.47,220
2015/4/8,24.37,24.37,24.37,24.37,24.37,200
2015/4/9,24.34,24.34,24.34,24.34,24.34,220
2015/4/10,24.47,24.47,24.47,24.47,24.47,140
2015/4/13,24.44,24.44,24.44,24.44,24.44,180
2015/4/14,24.4,24.4,24.4,24.4,24.4,200
2015/4/15,24.37,24.37,24.37,24.37,24.37,120
2015/4/16,24.36,24.36,24.36,24.36,24.36,460
2015/4/17,24.5,24.5,24.5,24.5,24.5,40
2015/4/20,24.45,24.45,24.45,24.45,24.45,80
2015/4/21,24.4,24.4,24.4,24.4,24.4,60
2015/4/22,24.34,24.34,24.34,24.34,24.34,100
2015/4/23,24.4,24.4,24.4,24.4,24.4,40
2015/4/24,24.37,24.37,24.37,24.37,24.37,80
2015/4/27,24.33,24.33,24.33,24.33,24.33,80
2015/4/29,24.4,24.4,24.4,24.4,24.4,40
2015/4/30,24.13,24.13,24.13,24.13,24.13,80
2015/5/4,24.08,24.08,24.08,24.08,24.08,40
2015/5/7,24.13,24.13,24.13,24.13,24.13,120
2015/5/8,24.15,24.15,24.15,24.15,24.15,60
2015/5/11,23.45,23.45,23.45,23.45,23.45,40
2015/5/13,21.95,21.95,21.95,21.95,21.95,100
2015/5/14,21.95,21.95,21.95,21.95,21.95,300
2015/5/18,19.9,19.9,19.9,19.9,19.9,60
2015/5/19,20.79,20.79,20.79,20.79,20.79,240
2015/5/20,21.05,21.05,21.05,21.05,21.05,240
2015/5/21,18.95,18.95,18.95,18.95,18.95,200
2015/5/25,18.95,18.95,18.95,18.95,18.95,100
2015/6/2,17.06,17.06,17.06,17.06,17.06,280
2015/6/5,15.35,15.35,15.35,15.35,15.35,200
2015/6/8,13.82,13.82,13.82,13.82,13.82,100
2015/6/17,12.45,12.45,12.45,12.45,12.45,20
2015/6/18,11.2,11.2,11.2,11.2,11.2,1060
2015/6/19,11.77,11.77,11.77,11.77,11.77,860
2015/6/23,12.26,12.26,12.26,12.26,12.26,400
2015/6/26,13.3,13.3,13.3,13.3,13.3,20
2015/6/30,14.32,14.32,14.32,14.32,14.32,800
2015/7/1,15.37,15.37,15.37,15.37,15.37,120
2015/7/2,16.67,16.67,16.67,16.67,16.67,300
2015/7/3,18.33,18.33,18.33,18.33,18.33,5440
2015/7/6,17.58,17.58,17.58,17.58,17.58,40
2015/7/7,19,19,19,19,19,20
2015/7/8,13.31,13.31,13.31,13.31,13.31,479421
2015/7/10,20.5,20.5,20.5,20.5,20.5,40
2015/8/7,21.3,21.3,21.3,21.3,21.3,800
2015/8/10,22.09,22.09,22.09,22.09,22.09,340
2015/8/11,22.07,22.07,22.07,22.07,22.07,220
2015/8/12,22.16,22.16,22.16,22.16,22.16,280
2015/8/31,22.27,22.27,22.27,22.27,22.27,400
2015/9/1,22.35,22.35,22.35,22.35,22.35,420
2015/9/2,22.46,22.46,22.46,22.46,22.46,460
2015/9/7,22.56,22.56,22.56,22.56,22.56,400
2015/9/8,22.45,22.45,22.45,22.45,22.45,260
2015/9/9,22.53,22.53,22.53,22.53,22.53,280
2015/9/10,22.78,22.78,22.78,22.78,22.78,240
2015/9/11,23,23,23,23,23,100
2015/9/14,22.67,22.67,22.67,22.67,22.67,180
2015/9/15,22.93,22.93,22.93,22.93,22.93,240
2015/9/16,23,23,23,23,23,340
2015/9/17,23.03,23.03,23.03,23.03,23.03,280
2015/9/18,23.12,23.12,23.12,23.12,23.12,340
2015/9/21,23.1,23.1,23.1,23.1,23.1,280
2015/9/22,23.06,23.06,23.06,23.06,23.06,320
2015/9/23,23.11,23.11,23.11,23.11,23.11,340
2015/9/24,23.04,23.04,23.04,23.04,23.04,380
